201919201	5924	22
201919202	5907	3
201919203	5860	42
201919204	5860	8
201919205	5907	8
201919206	5861	4
201919207	5846	43
201919208	5872	22
201919209	5878	24
201919210	5871	5
201919211	5877	11
201919212	5848	48
201919213	5910	5
201919214	5942	1
201919215	5894	28
201919216	5943	19
201919217	5884	9
201919218	5919	6
201919219	5907	30
201919220	5846	13
201919221	5886	48
201919222	5938	14
201919223	5924	10
201919224	5932	23
201919225	5933	28
201919226	5848	38
201919227	5932	14
201919228	5934	22
201919229	5865	14
201919230	5886	37
201919231	5876	34
201919232	5875	13
201919233	5879	34
201919234	5940	29
201919235	5894	35
201919236	5919	39
201919237	5931	11
201919238	5941	26
201919239	5855	23
201919240	5880	34
201919241	5863	3
201919242	5858	20
201919243	5845	48
201919244	5853	18
201919245	5916	45
201919246	5927	39
201919247	5855	17
201919248	5905	40
201919249	5860	9
201919250	5862	44
201919201	5922	19
201919202	5888	24
201919203	5932	48
201919204	5869	4
201919205	5903	23
201919206	5862	37
201919207	5884	48
201919208	5942	14
201919209	5907	26
201919210	5904	38
201919211	5939	8
201919212	5897	4
201919213	5919	22
201919214	5859	14
201919215	5939	21
201919216	5857	40
201919217	5934	14
201919218	5882	35
201919219	5892	47
201919220	5943	45
201919221	5885	22
201919222	5866	40
201919223	5903	1
201919224	5887	21
201919225	5927	2
201919226	5898	37
201919227	5878	8
201919228	5888	23
201919229	5932	33
201919230	5880	30
201919231	5872	28
201919232	5864	15
201919233	5943	31
201919234	5872	26
201919235	5908	22
201919236	5848	16
201919237	5931	17
201919238	5906	10
201919239	5937	19
201919240	5883	23
201919241	5918	11
201919242	5924	45
201919243	5885	8
201919244	5861	40
201919245	5901	48
201919246	5879	11
201919247	5921	15
201919248	5858	21
201919249	5938	10
201919250	5865	32
201919201	5872	47
201919202	5865	13
201919203	5923	22
201919204	5927	44
201919205	5914	21
201919206	5890	48
201919207	5940	37
201919208	5865	27
201919209	5897	30
201919210	5892	20
201919211	5908	45
201919212	5878	1
201919213	5872	45
201919214	5851	9
201919215	5913	14
201919216	5850	40
201919217	5933	3
201919218	5863	38
201919219	5933	31
201919220	5881	12
201919221	5930	24
201919222	5917	13
201919223	5890	41
201919224	5918	28
201919225	5869	12
201919226	5876	19
201919227	5910	22
201919228	5896	6
201919229	5851	39
201919230	5900	12
201919231	5844	16
201919232	5856	31
201919233	5885	12
201919234	5873	2
201919235	5900	19
201919236	5891	26
201919237	5847	42
201919238	5872	23
201919239	5929	4
201919240	5854	34
201919241	5916	34
201919242	5934	19
201919243	5930	14
201919244	5894	41
201919245	5847	34
201919246	5873	40
201919247	5906	34
201919248	5866	30
201919249	5934	37
201919250	5890	21
201919201	5861	44
201919202	5858	15
201919203	5896	1
201919204	5877	10
201919205	5907	33
201919206	5864	15
201919207	5930	7
201919208	5845	48
201919209	5929	19
201919210	5917	32
201919211	5916	11
201919212	5897	41
201919213	5917	20
201919214	5891	10
201919215	5879	21
201919216	5916	28
201919217	5882	4
201919218	5916	32
201919219	5918	18
201919220	5870	44
201919221	5930	33
201919222	5895	33
201919223	5924	11
201919224	5863	48
201919225	5918	19
201919226	5906	5
201919227	5872	3
201919228	5887	39
201919229	5914	16
201919230	5925	21
201919231	5865	17
201919232	5937	29
201919233	5923	36
201919234	5927	25
201919235	5863	10
201919236	5918	4
201919237	5942	7
201919238	5925	16
201919239	5858	21
201919240	5911	41
201919241	5863	30
201919242	5874	9
201919243	5938	14
201919244	5846	22
201919245	5903	6
201919246	5918	34
201919247	5887	13
201919248	5918	30
201919249	5901	42
201919250	5899	26
201919201	5915	30
201919202	5897	7
201919203	5941	14
201919204	5864	39
201919205	5897	15
201919206	5890	38
201919207	5884	6
201919208	5905	39
201919209	5902	9
201919210	5847	40
201919211	5931	9
201919212	5919	34
201919213	5943	22
201919214	5919	37
201919215	5892	40
201919216	5942	4
201919217	5869	5
201919218	5902	14
201919219	5908	38
201919220	5936	45
201919221	5885	39
201919222	5885	12
201919223	5856	18
201919224	5855	24
201919225	5905	2
201919226	5907	11
201919227	5916	2
201919228	5939	14
201919229	5888	39
201919230	5849	21
201919231	5943	43
201919232	5885	29
201919233	5916	20
201919234	5940	21
201919235	5907	27
201919236	5936	41
201919237	5854	7
201919238	5900	1
201919239	5940	48
201919240	5846	36
201919241	5850	37
201919242	5889	45
201919243	5848	25
201919244	5875	12
201919245	5921	45
201919246	5899	41
201919247	5932	4
201919248	5942	7
201919249	5867	26
201919250	5850	9
201919201	5927	43
201919202	5918	48
201919203	5873	31
201919204	5849	15
201919205	5846	2
201919206	5911	24
201919207	5916	18
201919208	5852	47
201919209	5846	5
201919210	5871	1
201919211	5905	2
201919212	5889	8
201919213	5880	12
201919214	5930	32
201919215	5872	36
201919216	5908	14
201919217	5886	37
201919218	5849	9
201919219	5844	38
201919220	5882	11
201919221	5867	1
201919222	5871	36
201919223	5933	40
201919224	5882	45
201919225	5890	11
201919226	5913	36
201919227	5874	24
201919228	5908	31
201919229	5878	35
201919230	5858	5
